"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.785910060E-1,4.123340361E-3,-1.936442852E-1,-3.772092983E-2
8.885910060E-1,-2.840523422E-2,-2.528982162E-1,-1.481348183E-2
8.985910060E-1,-2.550362423E-2,-2.800817192E-1,1.557706390E-2
9.085910060E-1,-1.221730467E-2,-2.689334154E-1,2.290744707E-2
9.185910060E-1,-4.886921961E-3,-2.553416789E-1,2.901609987E-2
9.285910060E-1,3.512475174E-3,-2.504547536E-1,3.512475267E-2
9.385910060E-1,6.108652451E-4,-2.049452960E-1,2.199114859E-2
9.485910060E-1,-2.519819140E-2,-9.239336848E-2,1.038470957E-2
9.585910060E-1,-6.811147183E-2,-9.529497474E-2,9.315694682E-3
9.685910060E-1,-1.502728462E-1,-2.177734673E-1,3.680463135E-2
9.785910060E-1,-2.283108830E-1,-3.772092760E-1,1.032362282E-1
9.885910060E-1,-2.458732575E-1,-4.439463317E-1,1.811215430E-1
9.985910060E-1,-2.002110779E-1,-4.624249935E-1,2.846632004E-1
1.008591006E0,-1.304197311E-1,-4.350887835E-1,3.591887653E-1
1.018591006E0,-5.177082866E-2,-3.399465084E-1,3.827070892E-1
1.028591006E0,7.483099122E-3,-2.483167201E-1,3.294090927E-1
1.038591006E0,2.351831272E-2,-1.568396538E-1,2.235766798E-1
1.048591006E0,2.031126991E-2,-8.414668590E-2,1.495092660E-1
1.058591006E0,1.679879427E-2,2.901609987E-3,1.328631938E-1
1.068591006E0,2.443460934E-2,-9.468411095E-3,1.670716405E-1
1.078591006E0,1.099557430E-2,-1.287398487E-1,2.200642079E-1
1.088591006E0,-4.581489135E-3,-1.634064466E-1,2.419026345E-1
1.098591006E0,-2.412917651E-2,-1.708895564E-1,2.284636050E-1
1.108591006E0,-2.336559631E-2,-1.301143020E-1,1.798998117E-1
1.118591006E0,-1.023199316E-2,1.252273750E-2,1.183551401E-1
1.128591006E0,-4.153883830E-2,1.769981980E-1,3.512475267E-2
1.138591006E0,-9.132435173E-2,2.281581759E-1,-1.221730467E-2
1.148591006E0,-7.803803682E-2,2.541199327E-1,-3.649919853E-2
1.158591006E0,-4.428773187E-3,1.446223408E-1,-3.222314268E-2
1.168591006E0,9.269879758E-2,1.802052557E-2,-1.527163113E-4
1.178591006E0,1.653917581E-1,-1.069014193E-3,5.818491429E-2
1.188591006E0,2.360994220E-1,5.314527452E-2,1.426370293E-1
1.198591006E0,2.532036304E-1,6.902777404E-2,1.963931769E-1
1.208591006E0,2.199114859E-1,7.574728876E-2,2.244929820E-1
1.218591006E0,2.003637999E-1,6.688974798E-2,2.550362349E-1
1.228591006E0,2.005165219E-1,5.818491429E-2,2.660318017E-1
1.238591006E0,2.277000248E-1,3.527746722E-2,2.512183189E-1
1.248591006E0,2.747366428E-1,8.704829961E-3,2.729040384E-1
1.258591006E0,3.229950070E-1,-2.641992271E-2,2.835941911E-1
1.268591006E0,3.743076921E-1,-1.128573567E-1,2.916881442E-1
1.278591006E0,4.280638099E-1,-2.057088763E-1,3.387247920E-1
1.288591006E0,4.456261992E-1,-2.386955917E-1,3.628539443E-1
1.298591006E0,4.088215530E-1,-2.377792895E-1,3.434589803E-1
1.308591006E0,3.488040566E-1,-1.377501190E-1,3.000875413E-1
1.318591006E0,3.292563558E-1,-3.558290005E-2,2.017382532E-1
1.328591006E0,3.440698385E-1,4.978551716E-2,9.239336848E-2
1.338591006E0,3.759875596E-1,4.902193695E-2,6.291911751E-2
1.348591006E0,4.207334518E-1,-2.901609987E-3,2.107485011E-2
1.358591006E0,4.631885588E-1,-7.101308554E-2,-8.552113548E-3
1.368591006E0,5.112941861E-1,-2.005165219E-1,-9.162978968E-4
1.378591006E0,5.444336534E-1,-3.129157126E-1,1.679879427E-2
1.388591006E0,5.258022547E-1,-5.467243865E-2,5.115996301E-2
1.398591006E0,3.849978149E-1,-3.249803185E-1,9.269879758E-2
1.408591006E0,2.614503205E-1,-3.631593883E-1,1.134682223E-1
1.418591006E0,1.748601794E-1,-4.218024611E-1,1.133155003E-1
1.428591006E0,2.327396572E-1,-4.334088862E-1,9.850201756E-2
1.438591006E0,3.287982047E-1,-4.616613984E-1,9.330966324E-2
1.448591006E0,4.297437072E-1,-4.862487316E-1,9.300423414E-2
1.458591006E0,6.178901792E-1,-5.146539807E-1,5.955936015E-2
1.468591006E0,8.112290502E-1,-4.499022663E-1,2.901609987E-2
1.478591006E0,9.098837972E-1,-3.787364662E-1,1.710422710E-2
1.488591006E0,8.778133392E-1,-3.607159257E-1,2.092213556E-2
1.498591006E0,7.579310536E-1,-2.912299931E-1,5.314527452E-2
1.508591006E0,5.545129180E-1,-2.090686262E-1,9.666942805E-2
1.518591006E0,3.347541690E-1,-3.254384696E-1,6.475171447E-2
1.528591006E0,3.089450896E-1,-4.503603876E-1,1.832595794E-3
1.538591006E0,4.210388660E-1,-4.870123267E-1,-2.535090782E-2
1.548591006E0,6.517932415E-1,-5.922338367E-1,-4.352414981E-2
1.558591006E0,8.975137472E-1,-8.235990405E-1,-4.398229718E-2
1.568591006E0,1.056949615E0,-1.040303469E0,-2.596177394E-3
1.578591006E0,1.072984815E0,-9.193521738E-1,9.437867999E-2
1.588591006E0,9.117164016E-1,-5.464189649E-1,1.834122837E-1
1.598591006E0,7.486153841E-1,-3.342960179E-1,8.353582025E-2
1.608591006E0,6.927211881E-1,-1.690569520E-1,-5.803219974E-3
1.618591006E0,7.325801253E-1,-1.059851199E-1,-1.175915636E-2
1.628591006E0,8.022187948E-1,-4.072943926E-1,7.941248268E-2
1.638591006E0,7.971791625E-1,-7.377725244E-1,1.910481006E-1
1.648591006E0,8.437576294E-1,-7.240280509E-1,2.228130996E-1
1.658591006E0,9.387471676E-1,-7.680103183E-1,1.895209402E-1
1.668591006E0,1.023810148E0,-7.941248417E-1,1.806633919E-1
1.678591006E0,1.112843752E0,-7.405213714E-1,2.003637999E-1
1.688591006E0,1.167210817E0,-5.525276065E-1,2.438879460E-1
1.698591006E0,1.172403097E0,-4.557054639E-1,2.640464902E-1
1.708591006E0,1.185994864E0,-4.642575979E-1,2.822197378E-1
