"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.181552830E-1,-1.966900229E0,-9.614959717E0,1.634297848E0
9.281552830E-1,-1.756331801E0,-9.494122505E0,1.515853167E0
9.381552830E-1,-1.603191137E0,-9.518050194E0,1.511665702E0
9.481552830E-1,-1.670788407E0,-9.359525681E0,1.445264935E0
9.581552830E-1,-1.853241086E0,-9.275776863E0,9.708877802E-1
9.681552830E-1,-1.887338877E0,-9.172885895E0,6.699903607E-1
9.781552830E-1,-1.977667928E0,-9.266205788E0,9.948160052E-1
9.881552830E-1,-2.201396942E0,-9.412766457E0,1.399801254E0
9.981552830E-1,-2.325225353E0,-9.518648148E0,1.513460279E0
1.008155283E0,-2.234298229E0,-9.606584549E0,1.814955950E0
1.018155283E0,-1.984846354E0,-9.526425362E0,2.056032896E0
1.028155283E0,-1.779661894E0,-9.372088432E0,1.871187329E0
1.038155283E0,-1.694118381E0,-9.375677109E0,1.732403636E0
1.048155283E0,-1.737189293E0,-9.561718941E0,1.554138303E0
1.058155283E0,-1.832902193E0,-9.589237213E0,1.362114310E0
1.068155283E0,-1.953739643E0,-9.519247055E0,8.925228715E-1
1.078155283E0,-1.862812400E0,-9.418747902E0,8.793623447E-1
1.088155283E0,-1.791027784E0,-9.247062683E0,1.009771109E0
1.098155283E0,-1.757528186E0,-9.151947975E0,1.139581800E0
1.108155283E0,-1.761117458E0,-9.049654961E0,1.576271892E0
1.118155283E0,-1.646261930E0,-8.988039970E0,1.667797327E0
1.128155283E0,-1.651645780E0,-8.952147484E0,1.356730461E0
1.138155283E0,-1.718644857E0,-9.099904060E0,1.197607756E0
1.148155283E0,-1.914856315E0,-9.387641907E0,1.329213023E0
1.158155283E0,-2.000399828E0,-9.779465675E0,1.206580877E0
1.168155283E0,-1.962114573E0,-9.814162254E0,1.412363529E0
1.178155283E0,-2.014158487E0,-9.691530228E0,1.624128342E0
1.188155283E0,-2.349751949E0,-9.952347755E0,1.271187067E0
1.198155283E0,-2.574677229E0,-1.007079220E1,1.025324464E0
1.208155283E0,-2.594418049E0,-9.744172096E0,8.261220455E-1
1.218155283E0,-2.536990166E0,-9.429515839E0,1.005583763E0
1.228155283E0,-2.240280151E0,-9.186046600E0,1.123430252E0
1.238155283E0,-2.154138565E0,-9.133403778E0,1.119242787E0
1.248155283E0,-2.206780672E0,-9.343374252E0,1.012163997E0
1.258155283E0,-2.193022013E0,-9.452247620E0,8.488538265E-1
1.268155283E0,-2.398804665E0,-9.637691498E0,6.556333899E-1
1.278155283E0,-2.508276224E0,-9.854242325E0,8.117650747E-1
1.288155283E0,-2.733201742E0,-1.001575756E1,5.844469070E-1
1.298155283E0,-2.651845694E0,-1.035972595E1,5.491527915E-1
1.308155283E0,-2.307279348E0,-1.031785107E1,7.758727670E-1
1.318155283E0,-1.566102386E0,-9.638887405E0,9.122636318E-1
1.328155283E0,-1.661815286E0,-9.400801659E0,1.128814101E0
1.338155283E0,-1.780858278E0,-9.305088997E0,1.124626637E0
