"event","experiment time","system time","system time text"
"START",0.000000000E0,1782487922.671,"2026-06-26 17:32:02.671 UTC+02:00"
"PAUSE",1.283816160E2,1782488051.053,"2026-06-26 17:34:11.053 UTC+02:00"
