"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.361799780E-1,-6.041877344E-2,3.414557934E0,9.227920532E0
9.461799780E-1,-4.666004330E-2,3.472583771E0,9.132207870E0
9.561799780E-1,-1.902294010E-1,3.454039574E0,9.055039406E0
9.661799780E-1,-3.002992272E-1,3.478565931E0,8.916254997E0
9.761799780E-1,-4.295116663E-1,3.708875179E0,8.811569214E0
9.861799780E-1,-5.922235847E-1,3.851846218E0,8.927022934E0
9.961799780E-1,-6.777670383E-1,3.673580885E0,9.030512810E0
1.006179978E0,-8.165507317E-1,3.650250912E0,8.982057571E0
1.016179978E0,-7.399803996E-1,3.563511133E0,9.101698875E0
1.026179978E0,-7.256234884E-1,3.549154282E0,9.092127800E0
1.036179978E0,-8.446664214E-1,3.563511133E0,9.096315384E0
1.046179978E0,-8.548358679E-1,3.311666489E0,8.759525299E0
1.056179978E0,-8.548358679E-1,3.598206997E0,8.880961418E0
1.066179978E0,-9.553344250E-1,3.669393539E0,8.938388824E0
1.076179978E0,-8.309076428E-1,3.697509289E0,9.064012527E0
1.086179978E0,-8.063812256E-1,3.619742393E0,9.269196510E0
1.096179978E0,-6.340979934E-1,3.451646566E0,9.393623352E0
1.106179978E0,-5.623133183E-1,3.431307554E0,9.556335449E0
1.116179978E0,-5.383850932E-1,3.383451223E0,9.513264656E0
1.126179978E0,-5.623133183E-1,3.489931822E0,9.384650230E0
1.136179978E0,-5.916253924E-1,3.524627686E0,9.188439369E0
1.146179978E0,-6.825526357E-1,3.558127165E0,9.130413055E0
1.156179978E0,-6.825526357E-1,3.574278831E0,8.924630165E0
1.166179978E0,-6.544370055E-1,3.612564087E0,8.843872070E0
1.176179978E0,-6.017948985E-1,3.503092289E0,8.781061172E0
1.186179978E0,-5.826523304E-1,3.546163082E0,8.814560890E0
1.196179978E0,-6.209374666E-1,3.665206194E0,8.858827591E0
1.206179978E0,-6.586244106E-1,3.693919897E0,8.892327309E0
1.216179978E0,-7.160521746E-1,3.664607763E0,9.011369705E0
1.226179978E0,-7.543373108E-1,3.696911097E0,9.154939651E0
1.236179978E0,-6.963114142E-1,3.619742393E0,9.269794464E0
1.246179978E0,-5.341976285E-1,3.524627686E0,9.207581520E0
1.256179978E0,-4.145565331E-1,3.371487141E0,9.192625999E0
1.266179978E0,-4.815555513E-1,3.391227961E0,9.116056442E0
1.276179978E0,-5.581258535E-1,3.510869026E0,9.121439934E0
1.286179978E0,-6.107679605E-1,3.562912941E0,9.126225471E0
1.296179978E0,-6.873382926E-1,3.549154282E0,9.111269951E0
1.306179978E0,-7.351947427E-1,3.629911900E0,9.169296265E0
1.316179978E0,-7.537391186E-1,3.672384501E0,9.207581520E0
1.326179978E0,-9.164510965E-1,3.753142357E0,9.327222824E0
1.336179978E0,-9.068797827E-1,3.695714474E0,9.288339615E0
