feature_index,importance
16,0.09821507817082945
55,0.08161776209384383
49,0.061288324103879785
45,0.06073586865597066
1,0.058910459090254844
44,0.0486924263417426
32,0.039913434265174706
7,0.03913562974451251
22,0.03670432735654208
23,0.0352868724940343
10,0.03243714129890716
17,0.03141011298916318
9,0.03127081604844919
50,0.030582608854162408
2,0.029908100437354125
12,0.02075319513407932
4,0.02029581684204892
21,0.01696336894549591
3,0.016568406326293382
42,0.015204466246232805
8,0.014022049480401543
41,0.013345827575411272
61,0.013336925882324968
33,0.012023977672430465
15,0.011737986964177629
53,0.009965975263902117
54,0.009770040375070736
0,0.00943441488062091
19,0.009407751006981263
31,0.00829033013400061
63,0.007570368152770544
5,0.007438251554997593
36,0.0063087508122132326
51,0.006094138143477006
58,0.005985152887673354
35,0.005172977126771915
24,0.004111838834758401
40,0.003928519145813879
46,0.0038204415188469493
13,0.003721080608196082
48,0.0034711682432368384
26,0.003349902891194765
37,0.00315014813477573
38,0.0030393207101879786
57,0.002642518508485333
6,0.002622802011343296
59,0.0016424093017203415
25,0.0015590453895174927
29,0.0014872561359345498
39,0.0010033003995218823
30,0.0007950989394807768
34,0.0006586204803700836
28,0.000603590633494434
18,0.0005887452871969587
47,0.00040081440615222957
56,0.0003856233762775818
43,0.0003367231369059896
11,0.00027392931435554297
62,0.000263366374498401
14,0.00017547230227345497
27,0.0001087073360469472
52,6.0423227217797136e-05
20,0.0
60,0.0
