acc_x_mean,acc_y_mean,acc_z_mean,acc_x_std,acc_y_std,acc_z_std,acc_x_min,acc_y_min,acc_z_min,acc_x_max,acc_y_max,acc_z_max,acc_x_range,acc_y_range,acc_z_range,acc_x_rms,acc_y_rms,acc_z_rms,acc_x_zcr,acc_y_zcr,acc_z_zcr,acc_sma,acc_magnitude_mean,acc_magnitude_std,acc_magnitude_max,acc_magnitude_skewness,acc_magnitude_kurtosis,gyr_x_mean,gyr_y_mean,gyr_z_mean,gyr_x_std,gyr_y_std,gyr_z_std,gyr_x_min,gyr_y_min,gyr_z_min,gyr_x_max,gyr_y_max,gyr_z_max,gyr_x_range,gyr_y_range,gyr_z_range,gyr_x_rms,gyr_y_rms,gyr_z_rms,gyr_magnitude_mean,gyr_magnitude_std,acc_dominant_freq,acc_energy_low,acc_energy_mid,acc_energy_high,acc_spectral_entropy,gyr_dominant_freq,gyr_energy_low,gyr_energy_mid,gyr_energy_high,gyr_spectral_entropy,acc_x_y_corr,acc_x_z_corr,acc_y_z_corr,gyr_x_y_corr,gyr_x_z_corr,gyr_y_z_corr,acc_gyr_magnitude_ratio,window_id,activity_id,activity_name,recording_folder
-0.0035759492084535493,-0.4809428700183257,-0.6536412629233853,-0.8130526075828818,-0.8456460898551561,-0.7997734651943197,1.0175150729648241,0.5560041128278603,0.3111670983685713,-0.4321320695216835,-0.9399971725086287,-0.9490963986693879,-0.7517250767103513,-0.858758732190819,-0.8132746305212518,-1.17971672622333,0.013337611975448025,-0.9235300901608512,0.28219095709688463,0.3888003588549372,-0.09437989051637066,-0.9778449233622506,-0.7839063513654695,-0.7040451891600439,-0.7598302109981124,-0.4294583367211505,-0.5364979900863522,-0.2305960458200156,-0.32783045040915776,-0.20443385397706784,-0.6385637313662685,-0.5665840094617317,-0.1825117017417211,0.20587178182693738,0.25637397650046356,0.1261859195955942,-0.8544117128838582,-0.8934040947047629,-0.4493044008769997,-0.5907143825414535,-0.6186519865686348,-0.2726173735035909,-0.7000954564585311,-0.39040226713626025,-0.18458237157186935,-0.46087177368812965,-0.6897734479267978,-0.7201066003571883,-0.3568714382546608,-0.7655601016313153,-0.7540354367946769,-0.2521213760110541,-0.10549227526284373,-0.4795585135132782,-0.3455024759588855,-0.7164638600203419,-0.2209187725414691,-1.4384271012716006,-0.6252545193318833,0.22101254371723844,-0.7487822869165759,0.21311900488148425,0.9273769671415867,-0.24188595851761555,30,0,walking,0_walking
0.36674255239696874,-0.496165693888824,-0.5772801028929897,-0.5311602134180938,-0.8583966558279394,-0.7947323837134534,0.3115163356658395,0.550904212699908,0.3293755295440067,-0.07971702453559495,-0.8374883001464571,-0.9448778356847773,-0.19128868352140457,-0.8091801290868996,-0.8227892389293456,-0.8035134153317525,0.02572199105933896,-0.966980418529584,0.5324185371763223,0.7232785325637372,-0.4922274290007627,-0.8804369442656276,-0.700683070507759,-0.6932904910726431,-0.7678089549318327,-0.6205250715884224,-0.5237037309827891,-0.16453172281826603,-0.1467573998959346,-0.2090345573530873,-0.5632413912103431,-0.044171938751057474,-0.09763082965267228,-0.07448177527279828,-0.42025159047186333,-0.013586878115016634,-0.8976819412865215,-0.3500244319369329,-0.552639793316363,-0.47182291523353215,0.0730694840916422,-0.23686624823921337,-0.6224257354555353,-0.10911944994940265,-0.10157647436169635,-0.31792419872128935,-0.36081211091073756,-0.7201066003571883,-0.3191555470060634,-0.7405557282874092,-0.7875610475204806,-0.31411088805051013,-0.10549227526284373,-0.42626292297514856,0.39261087451638693,-0.7135044149737192,0.10643800396123165,-1.5962611958124666,-0.9937853396399073,0.18181499902690323,-0.3682994789529262,0.04877005575143877,1.3386463871017944,-0.2513864033332125,0,0,walking,0_walking
-0.09680050647420405,-0.5116522104383411,-0.5267650273703621,-0.4469900353851703,-0.8328091259051774,-0.9372610244065092,0.25837978273618745,0.5113413831788206,0.44142745217836077,-0.34392508025228996,-0.8914693824110261,-0.6175028315968518,-0.3639419420426071,-0.8017601768483009,-0.6892861829649556,-0.7635117527390807,0.04425123582115245,-1.064541070989037,0.4073047471366032,0.3888003588549372,0.10454387872582524,-0.8744858776797728,-0.6653423013003356,-0.6970417488826193,-0.7805748307802363,-0.36326271273089183,-0.5258679465010905,-0.3380483703135312,-0.7836309593284583,-0.4049067084186221,-0.5865837511670023,0.3752666088314496,-0.09260603467279013,-0.03212797325390417,-0.48987753162827935,0.3792627128045664,-1.0329143903162736,-0.2692502450888745,-0.24400941946641796,-0.5703180200929522,0.15714137240482043,-0.3292909380151695,-0.6474104435243636,0.4822950296311328,-0.0867101637977295,-0.02655193826127498,-0.028472813660732618,-0.7201066003571883,-0.3401798118757571,-0.7788941020254375,-0.7380100874533706,0.32240181797559886,-0.9726387779234189,0.2835479539756667,-0.060519153534472535,-0.49941227654277787,0.12039524589778512,-1.007718668038332,0.20126973046918803,-0.2469636073321137,-0.9163344644598994,0.018469557782349155,0.5790068283478911,-0.2680118004426683,22,0,walking,0_walking
-0.30565525068706284,-0.4759964962517286,-0.6327768250647089,-0.4712800067892018,-0.8010890444419555,-0.7204662236779102,0.1772386896138432,0.5437952478739694,0.3275292358535287,-0.24407275072991927,-0.8638575894934643,-0.9490963986693879,-0.25567508014480633,-0.81525096139549,-0.8242398970013937,-0.7799319165970521,0.015945295553488427,-0.8985144215562572,-0.218264203061991,0.3888003588549372,-0.09437989051637066,-0.816680086608933,-0.722014577360206,-0.6509653913182261,-0.7598302109981124,-0.5080491077326348,-0.5746956398797164,-0.11790818292091203,0.726691866122208,0.3240386564786744,-0.5968293181264359,-0.1466326438785546,-0.3406269152583959,0.012383582352978012,0.6768109120092567,0.47701073226373236,-0.5376077169156231,0.25388002398356574,-0.6743187080950592,-0.3117319372954647,-0.27836120902188355,-0.5769078733560192,-0.6558569607523779,-0.3869251921732802,-0.3609902446276661,-0.5135327484836316,-0.6101812118760586,-0.7201066003571883,-0.3618804784472314,-0.7448706210758189,-0.730968831004735,-0.4303875615338931,-0.10549227526284373,-0.727726745699567,0.11191368535447883,-0.6464901278903862,-0.058267589603373304,-1.1171191171961858,-1.0372255103773924,0.17329954179487853,-0.2945650389971376,0.9688686792645402,-0.6848314873364886,-0.23644440879635617,31,0,walking,0_walking
-0.1345991984000993,-0.49589898024598733,-0.5712462380620452,-0.5895408957398902,-0.811959656095498,-0.8694398728740125,0.6639412389882338,0.5144322186087866,0.41678873668518074,-0.3128709053883142,-0.8920216060791241,-0.9622878213047977,-0.5133427723639999,-0.8044583190681465,-0.8924634072673737,-0.9262686409518299,0.03280940460074986,-1.0083111621918623,0.1570771670571656,0.7232785325637372,-0.1606878135971027,-0.8709436437298267,-0.7281815675708863,-0.6712297455276065,-0.7064149529386491,-0.4917226351865939,-0.5319147847290328,-0.19594508109554096,-0.04492703112969772,0.05443224343276182,-0.6130638233919893,-0.2138261282356561,-0.10215122139248774,0.1808909806976364,-0.13619341511562016,0.2239339390547603,-0.7961042428283734,-0.25996452059647296,-0.28833974848040006,-0.5448081258110704,-0.05231293038938628,-0.25833049652077145,-0.6736946675114105,-0.27611485467414965,-0.117125651899809,-0.40215417250963686,-0.5237520533725091,-0.7201066003571883,-0.33962662775512964,-0.7657418817218337,-0.7262218901113977,-0.08269094529606508,-0.10549227526284373,-0.4507207518811118,-0.12629169095031711,-0.6252783233648084,0.4403978029979555,-1.4514937088224218,-0.8971768125827672,0.12325427861288027,-0.1237653174051639,-0.14395125149273713,0.15840395801890095,-0.24568081452900997,18,0,walking,0_walking
-0.17923971417106863,-0.5003428270819256,-0.5652890311979709,-0.3017478780415025,-0.824220538314856,-0.8562518933133749,-0.13526193705428824,0.5028801891144065,0.26851097055072765,-0.15008440236921328,-0.8284454436468168,-0.968180438791734,-0.05342243969859993,-0.767052101818485,-0.7968480721305168,-0.5956082541170079,0.034983790658094156,-1.0046132286692704,0.4073047471366032,0.4724199022821369,-0.09437989051637066,-0.8283611140097876,-0.6525782819587014,-0.6703611229245896,-0.6925046252932879,-0.26814645516036045,-0.41401889803066433,-0.3923146192824287,-0.853390837422141,-0.4684744169725131,-0.6179558096783141,0.6034980095779697,-0.3153177863439152,0.005002866522970899,-0.4830777916856215,0.34768615497470606,-0.8196317579099056,-0.010593962359118,-0.5080038167814116,-0.46816202650571365,0.2871655169147964,-0.42780959224437626,-0.6791844868954152,0.6747551111562514,-0.29807558853795046,0.011488668076095674,0.10351899629666383,-0.7201066003571883,-0.30228595788916107,-0.7655174253502502,-0.7242352718591989,0.501984335053616,-0.9726387779234189,0.6621570646309012,-0.3807029915426773,-0.4503427616948858,-0.2009560742654112,-0.6865003911270505,-0.215926617412455,-0.11282579686634236,-1.3720705259924029,0.47614259967928835,-0.2831392051740449,-0.2697256481736305,28,0,walking,0_walking
-0.14431225632117323,-0.5061530027859943,-0.5476282282003145,-0.541671519079203,-0.8715885740650406,-0.8294717610687888,0.43071461399563915,0.5580131155235575,0.3651557474637828,-0.3005648533797673,-0.9545623765831657,-0.8719566909398115,-0.4051369631249495,-0.8668224864589917,-0.8003040556450458,-0.8712468311586298,0.03318097801904896,-0.9990420615638529,0.1570771670571656,0.6396589891365371,0.038235955645093196,-0.8253327009864968,-0.6767264234145838,-0.7448966606258434,-0.7990061904935976,-0.611806645292247,-0.5944494720925204,-0.582160763376753,-1.3231242239519074,-0.5841617139282291,-0.6501846956790076,0.05996159400068507,-0.27671460161461564,0.0640485909324306,-0.2672086975828322,0.3907556836603371,-0.9601835241674868,-0.3930964642001084,-0.7492215149175883,-0.5782209680822281,-0.04198534377343858,-0.5597771462240763,-0.7087387993626655,0.5988881478765322,-0.2533241231474496,0.03785991981632907,-0.24298188733865245,1.9582989448627612,-0.3401839433686638,-0.8029865335481388,-0.7332482596721666,0.17048590040375197,-0.6835899437032272,0.01007083515017469,-0.344067715295461,-0.48115811707796785,0.3022271993959992,-1.0879808156807478,-0.02669331851986593,-0.01361592579373292,-1.247149778318095,0.15952556102898982,0.2359498770625262,-0.27125548053455084,10,0,walking,0_walking
-0.003471841347440842,-0.5268162356044402,-0.5319908731492365,-0.4280212191771964,-0.8141298198668192,-0.6877068452625387,0.7522629070068007,0.4422610463348629,-0.13532152585352408,-0.22177320371397086,-0.8251320461335734,-0.13089320822892514,-0.4835602322587016,-0.7174735475090243,0.007285043092766346,-0.7397117850685954,0.06150621496636312,-0.9301953580902556,-0.34337799310171,0.8068980759909369,0.038235955645093196,-0.6912547767427007,-0.5641401742980998,-0.6804807738818552,-0.6918267141599644,-0.4054022061986825,-0.48605254649490187,-0.4610568911147089,-1.656636747487945,-1.3847018447769033,-0.5127803212096482,0.05284865751103802,-0.14975329015734604,0.05235290029552586,-0.5245468160907674,0.18307017461033626,-0.8767117763772004,0.7060810873156252,-0.35621086619753467,-0.5248185262273906,0.6839683864592044,-0.2645598472142688,-0.5711180814927541,0.8200498931289326,-0.06894056037131738,0.2263132040287121,-0.0171809458140624,1.9582989448627612,-0.29313376319305273,-0.7914311494677729,-0.6956283813557236,-0.07939533751213836,-0.6835899437032272,0.12778463623244588,-0.14019007855758933,-0.3503465149179948,0.18368416240322616,-1.03419493460746,0.22877579017734467,-0.09982343731866619,-0.9713439064726261,-0.26178572058130595,0.6512854291996801,-0.278115563985704,53,0,walking,0_walking
-0.24030394616366807,-0.5216837658577336,-0.5217178471417555,-0.45208853688708117,-0.8478979475150665,-0.7511527243415005,0.25708724268229627,0.5235888671627407,0.4230280024714378,-0.2586087378073234,-0.8818052466045692,-0.8086780596830421,-0.3003488903537645,-0.8071871581278401,-0.7987680837509573,-0.7639954619724229,0.05135418450935727,-0.967652722037023,0.1570771670571656,1.1413762496997373,-0.3596115828392986,-0.760507631960215,-0.5967829165281169,-0.7203215187771019,-0.7846428900027557,-0.3229039948066346,-0.4587422434708307,-0.3356743085350345,-0.8743284759529683,-0.4893597981528006,-0.38400601915742283,0.6072493377585634,-0.17053032297795437,-0.22641105998804653,-0.8639608679689129,0.25667141947129446,-0.7039374863671863,-0.18053284748854845,-0.4291265143522679,-0.2840138207162531,0.42978009561849445,-0.339786103148755,-0.4405827627874787,0.6876924260250045,-0.15729374505314342,0.09427257883652433,0.270751094195526,-0.7201066003571883,-0.32931585617573417,-0.7697116883323766,-0.7756987831817865,0.24756597556404705,-0.9726387779234189,0.7850945497270052,-0.062424743536267355,-0.40449676561744663,0.15358296930996249,-0.5771369011718627,-0.2325203924284526,-0.09556114009374853,-0.34245526579700253,0.13473200560336104,0.7799889365590924,-0.2729228026676746,4,0,walking,0_walking
-0.31010264564351525,-0.4928796278800222,-0.5672982579558068,-0.3336184172519842,-0.8137063085810347,-0.7801676159889365,-0.11802837384031846,0.5299637578232533,0.4235373177821717,-0.2865244661827882,-0.8617176949551355,-0.669398014876357,-0.16156724484107993,-0.8033239301211521,-0.7103633395542639,-0.6229490880199223,0.02968430096950657,-0.9643732978244961,-0.34337799310171,0.6396589891365371,-0.5585353520814945,-0.7428552551448157,-0.6628896465607201,-0.6663314235217898,-0.7416019974510953,-0.4561571370896701,-0.5284559406151884,-0.1036307507175983,0.13398997998356546,0.28805357905227236,-0.6370561096483958,-0.3308430459367648,-0.11869933432670438,0.057122046152421765,0.6487498361714235,0.4803774190916135,-0.48615399810418924,-0.2194655584141926,-0.09726100032109976,-0.305398048871462,-0.5068462963604897,-0.3232647593249747,-0.6965583490960181,-0.43003508997133155,-0.14105197842876685,-0.4373506970859371,-0.8261660685709316,-0.7201066003571883,-0.35407563035718126,-0.7568908455454204,-0.7343558442902373,-0.11394060398262565,-0.10549227526284373,-0.736778935003636,-0.5305934070801607,-0.6036829068717464,0.5867283807251056,-1.3001636877937905,-0.8433458312821047,-0.2522369768681364,0.3143104478342906,0.005056415549779835,-0.7377755073811578,-0.24195143212426432,12,0,walking,0_walking
