"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.766761380E-1,-1.130100712E-1,-2.481640130E-1,1.924225502E-2
8.866761380E-1,-1.631010175E-1,-2.635883391E-1,5.589416996E-2
8.966761380E-1,-1.803579628E-1,-2.588541508E-1,5.345070735E-2
9.066761380E-1,-1.644754708E-1,-2.513710558E-1,3.772092983E-2
9.166761380E-1,-1.363756657E-1,-2.411390543E-1,3.283400834E-2
9.266761380E-1,-8.277224004E-2,-2.000583708E-1,2.306016348E-2
9.366761380E-1,-1.679879380E-3,-9.728029370E-2,6.414085161E-3
9.466761380E-1,6.826419383E-2,2.000583708E-2,-5.192354787E-3
9.566761380E-1,1.043052375E-1,9.147707373E-2,-6.108652335E-3
9.666761380E-1,1.148426682E-1,1.443169117E-1,8.704829961E-3
9.766761380E-1,8.918632567E-2,1.279762685E-1,1.603521220E-2
9.866761380E-1,4.214970022E-2,5.283984542E-2,4.734205548E-3
9.966761380E-1,2.153299935E-2,2.809980139E-2,-8.857546374E-3
1.006676138E0,3.359758761E-3,-5.039638374E-3,-3.451388702E-2
1.016676138E0,-2.336559631E-2,-3.207042441E-2,-7.009678334E-2
1.026676138E0,-1.970040426E-2,-2.229658142E-2,-6.765332818E-2
1.036676138E0,-7.635815535E-3,-8.704829961E-3,-5.894849449E-2
1.046676138E0,2.840523422E-2,7.498370856E-2,-5.619960278E-2
1.056676138E0,6.505715102E-2,8.155050874E-2,-5.742133409E-2
1.066676138E0,-1.603521220E-2,-1.282817032E-2,4.428773187E-3
1.076676138E0,-1.169806942E-1,-1.088867337E-1,8.475755155E-2
1.086676138E0,-1.437060535E-1,-1.288925707E-1,1.224784851E-1
1.096676138E0,-1.264491081E-1,-1.310305893E-1,1.029307917E-1
1.106676138E0,-8.857546002E-2,-1.218676195E-1,5.650503561E-2
1.116676138E0,-4.489859566E-2,-7.452555746E-2,2.611448988E-2
1.126676138E0,-6.108652335E-3,-2.977968007E-2,-6.566801574E-3
1.136676138E0,1.695151068E-2,-9.773843922E-3,-3.222314268E-2
1.146676138E0,2.901609987E-2,9.926560335E-3,-4.428773001E-2
1.156676138E0,4.123340547E-2,2.107485011E-2,-3.084869497E-2
1.166676138E0,4.505131021E-2,1.252273750E-2,-1.985312067E-2
1.176676138E0,3.405573592E-2,2.596177394E-3,-2.229658142E-2
1.186676138E0,1.450804994E-2,-1.374446787E-3,-2.718350291E-2
1.196676138E0,-7.483099122E-3,-1.252273750E-2,-3.695734590E-2
1.206676138E0,-3.558290005E-2,-3.375030309E-2,-3.466660157E-2
1.216676138E0,-4.520402849E-2,-4.489859566E-2,-2.977968007E-2
1.226676138E0,-4.886921868E-2,-5.100724846E-2,-2.244929783E-2
1.236676138E0,-2.443460934E-2,-4.108068720E-2,-9.010262787E-3
1.246676138E0,2.901609987E-2,1.099557430E-2,-2.748893574E-3
1.256676138E0,8.827003092E-2,1.059851199E-1,-1.221730490E-3
1.266676138E0,1.072068512E-1,1.601994038E-1,-2.138028387E-3
1.276676138E0,9.605856240E-2,1.711949855E-1,-8.093964309E-3
1.286676138E0,4.948008433E-2,1.644754708E-1,-1.175915636E-2
1.296676138E0,1.908953860E-2,1.432479024E-1,-6.872233935E-3
1.306676138E0,1.420261711E-2,1.322523206E-1,-1.069014147E-2
1.316676138E0,2.672535367E-2,1.116356254E-1,-1.572977938E-2
1.326676138E0,3.695734590E-2,7.620543987E-2,-1.832595654E-2
1.336676138E0,4.108068720E-2,2.947424725E-2,-7.635815535E-3
1.346676138E0,6.337726861E-2,2.229658142E-2,1.679879427E-2
