"event","experiment time","system time","system time text"
"START",0.000000000E0,1782487330.808,"2026-06-26 17:22:10.808 UTC+02:00"
"PAUSE",2.023951621E0,1782487332.832,"2026-06-26 17:22:12.832 UTC+02:00"
"START",2.023951621E0,1782487336.032,"2026-06-26 17:22:16.032 UTC+02:00"
"PAUSE",1.325657474E2,1782487466.574,"2026-06-26 17:24:26.574 UTC+02:00"
